July 5, 2024   17:43:49
Amperometric i-t Curve
File: run unsaved
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

6.090e+0, 4.347e-6
6.120e+0, 4.334e-6
6.150e+0, 4.339e-6
6.180e+0, 4.333e-6
6.210e+0, 4.321e-6
6.240e+0, 4.336e-6
6.270e+0, 4.361e-6
6.300e+0, 4.362e-6
6.330e+0, 4.361e-6
6.360e+0, 4.365e-6
6.390e+0, 4.359e-6
6.420e+0, 4.370e-6
6.450e+0, 4.375e-6
6.480e+0, 4.389e-6
6.510e+0, 4.375e-6
6.540e+0, 4.385e-6
6.570e+0, 4.401e-6
6.600e+0, 4.393e-6
6.630e+0, 4.393e-6
6.660e+0, 4.372e-6
6.690e+0, 4.369e-6
6.720e+0, 4.371e-6
6.750e+0, 4.361e-6
6.780e+0, 4.365e-6
6.810e+0, 4.373e-6
6.840e+0, 4.386e-6
6.870e+0, 4.392e-6
6.900e+0, 4.382e-6
6.930e+0, 4.366e-6
6.960e+0, 4.370e-6
6.990e+0, 4.365e-6
7.020e+0, 4.342e-6
7.050e+0, 4.335e-6
7.080e+0, 4.350e-6
7.110e+0, 4.372e-6
7.140e+0, 4.369e-6
7.170e+0, 4.362e-6
7.200e+0, 4.370e-6
7.230e+0, 4.385e-6
7.260e+0, 4.378e-6
7.290e+0, 4.378e-6
7.320e+0, 4.375e-6
7.350e+0, 4.388e-6
7.380e+0, 4.390e-6
7.410e+0, 4.384e-6
7.440e+0, 4.385e-6
7.470e+0, 4.429e-6
7.500e+0, 4.439e-6
7.530e+0, 4.439e-6
7.560e+0, 4.441e-6
7.590e+0, 4.452e-6
7.620e+0, 4.449e-6
7.650e+0, 4.447e-6
7.680e+0, 4.443e-6
7.710e+0, 4.457e-6
7.740e+0, 4.580e-6
7.770e+0, 4.593e-6
7.800e+0, 4.597e-6
7.830e+0, 4.615e-6
7.860e+0, 4.623e-6
7.890e+0, 4.615e-6
7.920e+0, 4.625e-6
7.950e+0, 4.629e-6
7.980e+0, 4.635e-6
8.010e+0, 4.641e-6
8.040e+0, 4.635e-6
8.070e+0, 4.607e-6
8.100e+0, 4.646e-6
8.130e+0, 4.646e-6
8.160e+0, 4.647e-6
8.190e+0, 4.655e-6
8.220e+0, 4.667e-6
8.250e+0, 4.698e-6
8.280e+0, 4.722e-6
8.310e+0, 4.720e-6
8.340e+0, 4.709e-6
8.370e+0, 4.677e-6
8.400e+0, 4.706e-6
8.430e+0, 4.729e-6
8.460e+0, 4.731e-6
8.490e+0, 4.708e-6
8.520e+0, 4.688e-6
8.550e+0, 4.587e-6
8.580e+0, 4.540e-6
8.610e+0, 4.518e-6
8.640e+0, 4.419e-6
8.670e+0, 4.214e-6
8.700e+0, 4.133e-6
8.730e+0, 3.875e-6
8.760e+0, 3.787e-6
8.790e+0, 3.561e-6
8.820e+0, 2.994e-6
8.850e+0, 2.899e-6
8.880e+0, 2.861e-6
8.910e+0, 2.580e-6
8.940e+0, 2.205e-6
8.970e+0, 2.223e-6
9.000e+0, 2.226e-6
9.030e+0, 2.153e-6
9.060e+0, 1.844e-6
9.090e+0, 1.363e-6
9.120e+0, 1.123e-6
9.150e+0, 7.719e-7
9.180e+0, 2.447e-7
9.210e+0, 2.029e-8
9.240e+0, 1.108e-8
9.270e+0, 9.707e-9
9.300e+0, 6.754e-9
9.330e+0, 8.058e-9
9.360e+0, 8.098e-9
9.390e+0, 7.676e-9
9.420e+0, 6.528e-9
9.450e+0, 7.941e-9
9.480e+0, 4.919e-9
9.510e+0, 6.293e-9
9.540e+0, 7.548e-9
9.570e+0, 7.391e-9
9.600e+0, 7.421e-9
9.630e+0, 6.626e-9
9.660e+0, 7.342e-9
9.690e+0, 7.352e-9
9.720e+0, 5.930e-9
9.750e+0, 7.225e-9
9.780e+0, 7.401e-9
9.810e+0, 6.204e-9
9.840e+0, 1.220e-8
9.870e+0, 7.268e-7
9.900e+0, 1.738e-6
9.930e+0, 2.224e-6
9.960e+0, 2.788e-6
9.990e+0, 3.168e-6
1.002e+1, 3.681e-6
1.005e+1, 3.831e-6
1.008e+1, 3.585e-6
1.011e+1, 3.643e-6
1.014e+1, 3.410e-6
1.017e+1, 3.061e-6
1.020e+1, 2.634e-6
1.023e+1, 1.975e-6
1.026e+1, 1.411e-6
1.029e+1, 4.169e-7
1.032e+1, 1.786e-7
1.035e+1, 1.510e-7
1.038e+1, 1.020e-8
1.041e+1, 7.244e-9
1.044e+1, 5.900e-9
1.047e+1, 7.558e-9
1.050e+1, 7.225e-9
1.053e+1, 6.077e-9
1.056e+1, 5.089e-7
1.059e+1, 1.342e-6
1.062e+1, 2.000e-6
1.065e+1, 3.071e-6
1.068e+1, 3.898e-6
1.071e+1, 4.453e-6
1.074e+1, 4.922e-6
1.077e+1, 5.247e-6
1.080e+1, 5.563e-6
1.083e+1, 5.826e-6
1.086e+1, 5.678e-6
1.089e+1, 5.153e-6
1.092e+1, 4.829e-6
1.095e+1, 4.140e-6
1.098e+1, 4.431e-6
1.101e+1, 4.538e-6
1.104e+1, 4.255e-6
1.107e+1, 4.628e-6
1.110e+1, 4.729e-6
1.113e+1, 3.376e-6
1.116e+1, 2.277e-6
1.119e+1, 1.434e-6
1.122e+1, 1.469e-6
1.125e+1, 1.803e-6
1.128e+1, 1.684e-6
1.131e+1, 1.282e-6
1.134e+1, 1.446e-6
1.137e+1, 1.741e-6
1.140e+1, 2.050e-6
1.143e+1, 2.554e-6
1.146e+1, 2.867e-6
1.149e+1, 2.808e-6
1.152e+1, 3.001e-6
1.155e+1, 3.155e-6
1.158e+1, 3.534e-6
1.161e+1, 3.798e-6
1.164e+1, 4.114e-6
1.167e+1, 4.025e-6
1.170e+1, 4.103e-6
1.173e+1, 4.286e-6
1.176e+1, 4.535e-6
1.179e+1, 4.873e-6
1.182e+1, 5.159e-6
1.185e+1, 5.374e-6
1.188e+1, 5.360e-6
1.191e+1, 5.247e-6
1.194e+1, 5.207e-6
1.197e+1, 5.327e-6
1.200e+1, 5.591e-6
1.203e+1, 5.620e-6
1.206e+1, 5.563e-6
1.209e+1, 5.619e-6
1.212e+1, 5.778e-6
1.215e+1, 5.850e-6
1.218e+1, 5.775e-6
1.221e+1, 5.589e-6
1.224e+1, 5.549e-6
1.227e+1, 5.265e-6
1.230e+1, 5.093e-6
1.233e+1, 4.880e-6
1.236e+1, 4.779e-6
1.239e+1, 4.802e-6
1.242e+1, 4.900e-6
1.245e+1, 5.168e-6
1.248e+1, 5.408e-6
1.251e+1, 5.518e-6
1.254e+1, 5.554e-6
1.257e+1, 5.555e-6
1.260e+1, 5.458e-6
1.263e+1, 5.397e-6
1.266e+1, 5.305e-6
1.269e+1, 5.256e-6
1.272e+1, 5.105e-6
1.275e+1, 4.810e-6
1.278e+1, 4.757e-6
1.281e+1, 4.578e-6
1.284e+1, 4.629e-6
1.287e+1, 4.300e-6
1.290e+1, 3.737e-6
1.293e+1, 3.395e-6
1.296e+1, 2.814e-6
1.299e+1, 2.481e-6
1.302e+1, 2.252e-6
1.305e+1, 1.563e-6
1.308e+1, 8.948e-7
1.311e+1, 4.552e-7
1.314e+1, 4.393e-8
1.317e+1, 8.490e-9
1.320e+1, 7.342e-9
1.323e+1, 7.862e-9
1.326e+1, 7.607e-9
1.329e+1, 7.499e-9
1.332e+1, 7.382e-9
1.335e+1, 7.323e-9
1.338e+1, 7.372e-9
1.341e+1, 5.547e-9
1.344e+1, 7.254e-9
1.347e+1, 7.283e-9
1.350e+1, 6.175e-9
1.353e+1, 7.274e-9
1.356e+1, 6.263e-9
1.359e+1, 4.340e-9
1.362e+1, 6.587e-9
1.365e+1, 7.166e-9
1.368e+1, 7.176e-9
1.371e+1, 5.557e-9
1.374e+1, 7.195e-9
1.377e+1, 7.176e-9
1.380e+1, 6.714e-9
1.383e+1, 7.048e-9
1.386e+1, 5.187e-8
1.389e+1, 2.745e-7
1.392e+1, 5.351e-7
1.395e+1, 9.525e-7
1.398e+1, 1.623e-6
1.401e+1, 2.291e-6
1.404e+1, 2.500e-6
1.407e+1, 3.003e-6
1.410e+1, 3.228e-6
1.413e+1, 3.282e-6
1.416e+1, 3.451e-6
1.419e+1, 3.625e-6
1.422e+1, 3.701e-6
1.425e+1, 3.822e-6
1.428e+1, 3.909e-6
1.431e+1, 3.984e-6
1.434e+1, 4.078e-6
1.437e+1, 4.322e-6
1.440e+1, 4.572e-6
1.443e+1, 4.638e-6
1.446e+1, 4.817e-6
1.449e+1, 4.893e-6
1.452e+1, 4.919e-6
1.455e+1, 4.905e-6
1.458e+1, 4.866e-6
1.461e+1, 4.846e-6
1.464e+1, 4.869e-6
1.467e+1, 4.885e-6
1.470e+1, 4.859e-6
1.473e+1, 4.902e-6
1.476e+1, 4.934e-6
1.479e+1, 4.918e-6
1.482e+1, 4.898e-6
1.485e+1, 4.903e-6
1.488e+1, 4.894e-6
1.491e+1, 4.915e-6
1.494e+1, 4.984e-6
1.497e+1, 5.012e-6
1.500e+1, 5.018e-6
1.503e+1, 5.007e-6
1.506e+1, 5.023e-6
1.509e+1, 5.053e-6
1.512e+1, 5.087e-6
1.515e+1, 5.110e-6
1.518e+1, 5.116e-6
1.521e+1, 5.161e-6
1.524e+1, 5.223e-6
1.527e+1, 5.206e-6
1.530e+1, 5.159e-6
1.533e+1, 5.126e-6
1.536e+1, 5.061e-6
1.539e+1, 5.079e-6
1.542e+1, 5.076e-6
1.545e+1, 4.950e-6
1.548e+1, 4.934e-6
1.551e+1, 4.893e-6
1.554e+1, 4.893e-6
1.557e+1, 4.905e-6
1.560e+1, 4.881e-6
1.563e+1, 4.789e-6
1.566e+1, 4.622e-6
1.569e+1, 4.575e-6
1.572e+1, 4.462e-6
1.575e+1, 4.375e-6
1.578e+1, 4.312e-6
1.581e+1, 4.388e-6
1.584e+1, 4.406e-6
1.587e+1, 4.468e-6
1.590e+1, 4.504e-6
1.593e+1, 4.517e-6
1.596e+1, 4.475e-6
1.599e+1, 4.443e-6
1.602e+1, 4.350e-6
1.605e+1, 4.330e-6
1.608e+1, 4.433e-6
1.611e+1, 4.359e-6
1.614e+1, 4.253e-6
1.617e+1, 4.246e-6
1.620e+1, 4.225e-6
1.623e+1, 4.197e-6
1.626e+1, 4.185e-6
1.629e+1, 4.052e-6
1.632e+1, 4.065e-6
1.635e+1, 4.092e-6
1.638e+1, 4.122e-6
1.641e+1, 4.151e-6
1.644e+1, 4.185e-6
1.647e+1, 4.274e-6
1.650e+1, 4.307e-6
1.653e+1, 4.319e-6
1.656e+1, 4.314e-6
1.659e+1, 4.353e-6
1.662e+1, 4.361e-6
1.665e+1, 4.347e-6
1.668e+1, 4.336e-6
1.671e+1, 4.292e-6
1.674e+1, 4.261e-6
1.677e+1, 4.194e-6
1.680e+1, 4.106e-6
1.683e+1, 4.124e-6
1.686e+1, 4.166e-6
1.689e+1, 4.167e-6
1.692e+1, 4.161e-6
1.695e+1, 4.181e-6
1.698e+1, 4.186e-6
1.701e+1, 4.186e-6
1.704e+1, 4.179e-6
1.707e+1, 4.189e-6
1.710e+1, 4.182e-6
1.713e+1, 4.190e-6
1.716e+1, 4.193e-6
1.719e+1, 4.193e-6
1.722e+1, 4.252e-6
1.725e+1, 4.308e-6
1.728e+1, 4.316e-6
1.731e+1, 4.316e-6
1.734e+1, 4.303e-6
1.737e+1, 4.274e-6
