July 5, 2024   17:31:38
Amperometric i-t Curve
File: 4
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

3.000e-2, 4.379e-6
6.000e-2, 4.486e-6
9.000e-2, 4.506e-6
1.200e-1, 4.500e-6
1.500e-1, 4.511e-6
1.800e-1, 4.521e-6
2.100e-1, 4.538e-6
2.400e-1, 4.554e-6
2.700e-1, 4.557e-6
3.000e-1, 4.578e-6
3.300e-1, 4.597e-6
3.600e-1, 4.612e-6
3.900e-1, 4.609e-6
4.200e-1, 4.623e-6
4.500e-1, 4.604e-6
4.800e-1, 4.623e-6
5.100e-1, 4.650e-6
5.400e-1, 4.712e-6
5.700e-1, 4.707e-6
6.000e-1, 4.759e-6
6.300e-1, 4.778e-6
6.600e-1, 4.760e-6
6.900e-1, 4.793e-6
7.200e-1, 4.922e-6
7.500e-1, 4.838e-6
7.800e-1, 4.804e-6
8.100e-1, 4.806e-6
8.400e-1, 4.787e-6
8.700e-1, 4.707e-6
9.000e-1, 4.715e-6
9.300e-1, 4.840e-6
9.600e-1, 4.781e-6
9.900e-1, 4.710e-6
1.020e+0, 4.826e-6
1.050e+0, 4.728e-6
1.080e+0, 4.709e-6
1.110e+0, 4.715e-6
1.140e+0, 4.715e-6
1.170e+0, 4.738e-6
1.200e+0, 4.752e-6
1.230e+0, 4.723e-6
1.260e+0, 4.695e-6
1.290e+0, 4.769e-6
1.320e+0, 4.795e-6
1.350e+0, 4.777e-6
1.380e+0, 4.765e-6
1.410e+0, 4.802e-6
1.440e+0, 4.812e-6
1.470e+0, 4.950e-6
1.500e+0, 4.889e-6
1.530e+0, 4.785e-6
1.560e+0, 4.859e-6
1.590e+0, 4.983e-6
1.620e+0, 4.872e-6
1.650e+0, 4.846e-6
1.680e+0, 4.837e-6
1.710e+0, 4.752e-6
1.740e+0, 4.683e-6
1.770e+0, 4.690e-6
1.800e+0, 4.665e-6
1.830e+0, 4.571e-6
1.860e+0, 4.557e-6
1.890e+0, 4.472e-6
1.920e+0, 4.335e-6
1.950e+0, 4.196e-6
1.980e+0, 4.207e-6
2.010e+0, 4.221e-6
2.040e+0, 4.076e-6
2.070e+0, 3.882e-6
2.100e+0, 3.741e-6
2.130e+0, 3.525e-6
2.160e+0, 3.249e-6
2.190e+0, 2.903e-6
2.220e+0, 2.476e-6
2.250e+0, 1.990e-6
2.280e+0, 1.448e-6
2.310e+0, 1.115e-6
2.340e+0, 6.933e-7
2.370e+0, 5.419e-7
2.400e+0, 5.455e-7
2.430e+0, 5.485e-7
2.460e+0, 4.766e-7
2.490e+0, 4.877e-7
2.520e+0, 6.465e-7
2.550e+0, 1.098e-6
2.580e+0, 1.175e-6
2.610e+0, 1.233e-6
2.640e+0, 1.258e-6
2.670e+0, 1.046e-6
2.700e+0, 7.769e-7
2.730e+0, 9.062e-7
2.760e+0, 9.937e-7
2.790e+0, 1.294e-6
2.820e+0, 1.683e-6
2.850e+0, 1.956e-6
2.880e+0, 2.577e-6
2.910e+0, 2.894e-6
2.940e+0, 2.875e-6
2.970e+0, 2.731e-6
3.000e+0, 2.568e-6
3.030e+0, 2.468e-6
3.060e+0, 2.072e-6
3.090e+0, 1.888e-6
3.120e+0, 1.649e-6
3.150e+0, 1.160e-6
3.180e+0, 8.859e-7
3.210e+0, 7.293e-7
3.240e+0, 1.114e-7
3.270e+0, 1.461e-8
3.300e+0, 7.421e-9
3.330e+0, 7.205e-9
3.360e+0, 5.007e-9
3.390e+0, 7.097e-9
3.420e+0, 6.714e-9
3.450e+0, 5.351e-9
3.480e+0, 6.813e-9
3.510e+0, 1.341e-8
3.540e+0, 4.980e-8
3.570e+0, 3.916e-7
3.600e+0, 5.291e-8
3.630e+0, 5.048e-8
3.660e+0, 8.501e-8
3.690e+0, 1.646e-7
3.720e+0, 2.385e-8
3.750e+0, 6.862e-9
3.780e+0, 6.557e-9
3.810e+0, 6.499e-9
3.840e+0, 6.587e-9
3.870e+0, 1.381e-8
3.900e+0, 4.177e-8
3.930e+0, 1.787e-7
3.960e+0, 1.526e-7
3.990e+0, 1.671e-8
4.020e+0, 6.763e-9
4.050e+0, 7.126e-9
4.080e+0, 5.400e-9
4.110e+0, 6.773e-9
4.140e+0, 6.675e-9
4.170e+0, 4.399e-9
4.200e+0, 6.616e-9
4.230e+0, 1.689e-8
4.260e+0, 5.822e-9
4.290e+0, 7.195e-9
4.320e+0, 3.415e-8
4.350e+0, 6.281e-8
4.380e+0, 8.804e-9
4.410e+0, 8.922e-8
4.440e+0, 1.607e-6
4.470e+0, 2.339e-6
4.500e+0, 1.918e-6
4.530e+0, 2.119e-6
4.560e+0, 2.226e-6
4.590e+0, 2.689e-6
4.620e+0, 2.208e-6
4.650e+0, 1.024e-6
4.680e+0, 4.990e-7
4.710e+0, 9.853e-8
4.740e+0, 1.167e-7
4.770e+0, 8.510e-9
4.800e+0, 5.979e-9
4.830e+0, 7.107e-9
4.860e+0, 6.636e-9
4.890e+0, 5.135e-9
4.920e+0, 6.577e-9
4.950e+0, 6.607e-9
4.980e+0, 5.125e-9
5.010e+0, 6.881e-9
5.040e+0, 6.656e-9
5.070e+0, 1.953e-7
5.100e+0, 9.126e-7
5.130e+0, 1.363e-6
5.160e+0, 2.096e-6
5.190e+0, 2.747e-6
5.220e+0, 3.093e-6
5.250e+0, 3.162e-6
5.280e+0, 3.340e-6
5.310e+0, 3.561e-6
5.340e+0, 3.811e-6
5.370e+0, 3.856e-6
5.400e+0, 3.787e-6
5.430e+0, 3.856e-6
5.460e+0, 3.851e-6
5.490e+0, 3.962e-6
5.520e+0, 4.146e-6
5.550e+0, 4.246e-6
5.580e+0, 4.254e-6
5.610e+0, 4.280e-6
5.640e+0, 4.280e-6
5.670e+0, 4.294e-6
5.700e+0, 4.323e-6
5.730e+0, 4.323e-6
5.760e+0, 4.310e-6
5.790e+0, 4.282e-6
5.820e+0, 4.308e-6
5.850e+0, 4.219e-6
5.880e+0, 4.312e-6
5.910e+0, 4.208e-6
5.940e+0, 4.126e-6
5.970e+0, 4.149e-6
6.000e+0, 4.100e-6
6.030e+0, 4.044e-6
6.060e+0, 4.079e-6
6.090e+0, 4.102e-6
6.120e+0, 4.180e-6
6.150e+0, 4.307e-6
6.180e+0, 4.383e-6
6.210e+0, 4.323e-6
6.240e+0, 4.270e-6
6.270e+0, 4.312e-6
6.300e+0, 4.343e-6
6.330e+0, 4.324e-6
6.360e+0, 4.284e-6
6.390e+0, 4.295e-6
6.420e+0, 4.308e-6
6.450e+0, 4.284e-6
6.480e+0, 4.284e-6
6.510e+0, 4.327e-6
6.540e+0, 4.324e-6
6.570e+0, 4.297e-6
6.600e+0, 4.285e-6
6.630e+0, 4.165e-6
6.660e+0, 4.154e-6
6.690e+0, 4.134e-6
6.720e+0, 4.098e-6
6.750e+0, 4.103e-6
6.780e+0, 4.156e-6
6.810e+0, 4.137e-6
6.840e+0, 4.106e-6
6.870e+0, 4.164e-6
6.900e+0, 4.215e-6
6.930e+0, 4.240e-6
6.960e+0, 4.316e-6
6.990e+0, 4.297e-6
7.020e+0, 4.280e-6
7.050e+0, 4.221e-6
7.080e+0, 4.227e-6
7.110e+0, 4.224e-6
7.140e+0, 4.241e-6
7.170e+0, 4.244e-6
7.200e+0, 4.241e-6
7.230e+0, 4.210e-6
7.260e+0, 4.178e-6
7.290e+0, 4.135e-6
7.320e+0, 4.136e-6
7.350e+0, 4.035e-6
7.380e+0, 3.995e-6
7.410e+0, 3.991e-6
7.440e+0, 3.981e-6
7.470e+0, 3.981e-6
7.500e+0, 3.902e-6
7.530e+0, 3.811e-6
7.560e+0, 3.753e-6
7.590e+0, 3.867e-6
7.620e+0, 3.897e-6
7.650e+0, 3.906e-6
7.680e+0, 3.926e-6
7.710e+0, 3.990e-6
7.740e+0, 4.039e-6
7.770e+0, 4.100e-6
7.800e+0, 4.223e-6
7.830e+0, 4.220e-6
7.860e+0, 4.231e-6
7.890e+0, 4.234e-6
7.920e+0, 4.229e-6
7.950e+0, 4.212e-6
7.980e+0, 4.163e-6
8.010e+0, 4.160e-6
8.040e+0, 4.169e-6
8.070e+0, 4.067e-6
8.100e+0, 4.042e-6
8.130e+0, 3.973e-6
8.160e+0, 3.938e-6
8.190e+0, 3.782e-6
8.220e+0, 3.844e-6
8.250e+0, 3.748e-6
8.280e+0, 3.636e-6
8.310e+0, 3.477e-6
8.340e+0, 3.102e-6
8.370e+0, 2.730e-6
8.400e+0, 2.411e-6
8.430e+0, 2.006e-6
8.460e+0, 2.147e-6
8.490e+0, 2.023e-6
8.520e+0, 1.924e-6
8.550e+0, 2.087e-6
8.580e+0, 2.118e-6
8.610e+0, 2.090e-6
8.640e+0, 2.071e-6
8.670e+0, 2.250e-6
8.700e+0, 2.412e-6
8.730e+0, 2.444e-6
8.760e+0, 2.615e-6
8.790e+0, 2.740e-6
8.820e+0, 2.746e-6
8.850e+0, 2.805e-6
8.880e+0, 2.769e-6
8.910e+0, 2.708e-6
8.940e+0, 2.578e-6
8.970e+0, 2.475e-6
9.000e+0, 2.285e-6
9.030e+0, 2.203e-6
9.060e+0, 2.196e-6
9.090e+0, 2.155e-6
9.120e+0, 2.178e-6
9.150e+0, 2.160e-6
9.180e+0, 1.993e-6
9.210e+0, 1.796e-6
9.240e+0, 1.685e-6
9.270e+0, 1.513e-6
9.300e+0, 1.391e-6
9.330e+0, 1.139e-6
9.360e+0, 6.178e-7
9.390e+0, 3.400e-7
9.420e+0, 1.079e-7
9.450e+0, 1.293e-7
9.480e+0, 6.257e-8
9.510e+0, 8.108e-9
9.540e+0, 8.696e-9
9.570e+0, 8.294e-9
9.600e+0, 4.458e-9
9.630e+0, 5.655e-9
9.660e+0, 7.568e-9
9.690e+0, 5.596e-9
9.720e+0, 5.459e-9
9.750e+0, 7.342e-9
9.780e+0, 7.813e-9
9.810e+0, 3.208e-8
9.840e+0, 1.668e-7
9.870e+0, 3.616e-7
9.900e+0, 4.309e-7
9.930e+0, 4.427e-7
9.960e+0, 3.244e-7
9.990e+0, 2.017e-7
1.002e+1, 2.396e-8
1.005e+1, 9.854e-9
1.008e+1, 6.744e-9
1.011e+1, 3.614e-9
1.014e+1, 6.999e-9
1.017e+1, 6.734e-9
1.020e+1, 5.655e-9
1.023e+1, 6.714e-9
1.026e+1, 6.224e-9
1.029e+1, 6.557e-9
1.032e+1, 3.634e-9
1.035e+1, 6.557e-9
1.038e+1, 6.744e-9
1.041e+1, 5.979e-9
1.044e+1, 6.607e-9
1.047e+1, 6.754e-9
1.050e+1, 6.763e-9
1.053e+1, 5.311e-9
1.056e+1, 6.656e-9
1.059e+1, 6.695e-9
1.062e+1, 4.968e-9
1.065e+1, 6.754e-9
1.068e+1, 6.930e-9
1.071e+1, 6.705e-9
1.074e+1, 6.685e-9
1.077e+1, 6.773e-9
1.080e+1, 6.361e-9
1.083e+1, 4.546e-9
1.086e+1, 6.508e-9
1.089e+1, 6.538e-9
1.092e+1, 5.007e-9
1.095e+1, 7.107e-9
1.098e+1, 6.518e-9
1.101e+1, 6.459e-9
1.104e+1, 5.331e-9
1.107e+1, 6.607e-9
1.110e+1, 6.450e-9
1.113e+1, 3.830e-9
1.116e+1, 6.557e-9
1.119e+1, 6.557e-9
1.122e+1, 6.361e-9
1.125e+1, 5.861e-9
1.128e+1, 7.951e-9
1.131e+1, 7.401e-9
1.134e+1, 3.918e-9
1.137e+1, 6.626e-9
1.140e+1, 6.499e-9
1.143e+1, 5.164e-9
1.146e+1, 5.468e-9
1.149e+1, 6.656e-9
1.152e+1, 6.567e-9
1.155e+1, 4.615e-9
1.158e+1, 6.538e-9
1.161e+1, 6.695e-9
1.164e+1, 3.732e-9
1.167e+1, 6.253e-9
1.170e+1, 8.137e-9
1.173e+1, 7.087e-9
1.176e+1, 4.821e-9
1.179e+1, 7.077e-9
1.182e+1, 7.254e-9
1.185e+1, 5.979e-9
1.188e+1, 8.235e-9
1.191e+1, 6.989e-9
1.194e+1, 5.164e-9
1.197e+1, 5.665e-9
1.200e+1, 5.969e-9
1.203e+1, 6.283e-9
1.206e+1, 2.417e-9
1.209e+1, 8.706e-9
1.212e+1, 6.116e-9
1.215e+1, 5.066e-9
1.218e+1, 6.479e-9
1.221e+1, 6.626e-9
1.224e+1, 6.371e-9
1.227e+1, 6.312e-9
1.230e+1, 1.066e-8
1.233e+1, 6.989e-9
1.236e+1, 4.340e-9
1.239e+1, 6.528e-9
1.242e+1, 5.871e-9
1.245e+1, 6.420e-9
1.248e+1, 5.900e-9
1.251e+1, 6.695e-9
1.254e+1, 6.057e-9
1.257e+1, 4.095e-9
1.260e+1, 6.783e-9
1.263e+1, 6.881e-9
1.266e+1, 6.744e-9
1.269e+1, 6.400e-9
1.272e+1, 5.851e-9
1.275e+1, 6.479e-9
1.278e+1, 5.949e-9
1.281e+1, 6.695e-9
1.284e+1, 6.557e-9
1.287e+1, 4.635e-9
1.290e+1, 6.420e-9
1.293e+1, 5.321e-9
1.296e+1, 5.655e-9
1.299e+1, 4.841e-9
1.302e+1, 4.909e-9
1.305e+1, 5.135e-9
1.308e+1, 3.964e-10
1.311e+1, -4.376e-10
1.314e+1, 4.026e-9
1.317e+1, 7.785e-8
1.320e+1, 3.286e-7
1.323e+1, 3.614e-7
1.326e+1, 4.312e-7
1.329e+1, 1.792e-7
1.332e+1, 3.967e-9
1.335e+1, 6.440e-9
1.338e+1, 5.311e-9
1.341e+1, 6.705e-9
1.344e+1, 7.352e-9
1.347e+1, 6.813e-9
1.350e+1, 5.939e-9
1.353e+1, 6.037e-9
1.356e+1, 6.763e-9
1.359e+1, 6.116e-9
1.362e+1, 6.832e-9
1.365e+1, 6.597e-9
1.368e+1, 6.126e-9
1.371e+1, 6.685e-9
1.374e+1, 4.929e-9
1.377e+1, 6.646e-9
1.380e+1, 4.198e-8
1.383e+1, 1.612e-7
1.386e+1, 3.351e-7
1.389e+1, 2.044e-7
1.392e+1, 2.762e-7
1.395e+1, 2.074e-7
1.398e+1, 3.612e-7
1.401e+1, 5.339e-7
1.404e+1, 4.711e-7
1.407e+1, 5.256e-7
1.410e+1, 1.053e-6
1.413e+1, 1.420e-6
1.416e+1, 1.711e-6
1.419e+1, 1.933e-6
1.422e+1, 2.248e-6
1.425e+1, 2.398e-6
1.428e+1, 2.463e-6
1.431e+1, 2.358e-6
1.434e+1, 2.811e-6
1.437e+1, 2.939e-6
1.440e+1, 2.398e-6
1.443e+1, 1.849e-6
1.446e+1, 1.105e-6
1.449e+1, 3.954e-7
1.452e+1, 5.646e-8
1.455e+1, 3.294e-8
1.458e+1, 8.166e-9
1.461e+1, 6.675e-9
1.464e+1, 6.724e-9
1.467e+1, 6.734e-9
1.470e+1, 6.803e-9
1.473e+1, 4.958e-9
1.476e+1, 6.400e-9
1.479e+1, 6.646e-9
1.482e+1, 3.879e-9
1.485e+1, 6.410e-9
1.488e+1, 4.693e-9
1.491e+1, 1.939e-8
1.494e+1, 3.701e-7
1.497e+1, 5.113e-7
1.500e+1, 4.817e-7
1.503e+1, 3.898e-7
1.506e+1, 5.396e-7
1.509e+1, 6.215e-7
1.512e+1, 8.756e-7
1.515e+1, 8.238e-7
1.518e+1, 9.413e-7
1.521e+1, 1.097e-6
1.524e+1, 1.370e-6
1.527e+1, 1.560e-6
1.530e+1, 1.968e-6
1.533e+1, 2.010e-6
1.536e+1, 2.111e-6
1.539e+1, 2.318e-6
1.542e+1, 2.392e-6
1.545e+1, 2.542e-6
1.548e+1, 2.594e-6
1.551e+1, 2.712e-6
1.554e+1, 2.783e-6
1.557e+1, 2.760e-6
1.560e+1, 2.734e-6
1.563e+1, 2.743e-6
1.566e+1, 2.767e-6
1.569e+1, 2.795e-6
1.572e+1, 2.812e-6
1.575e+1, 2.783e-6
1.578e+1, 2.874e-6
1.581e+1, 2.926e-6
1.584e+1, 2.915e-6
1.587e+1, 2.867e-6
1.590e+1, 2.901e-6
1.593e+1, 2.853e-6
1.596e+1, 2.799e-6
1.599e+1, 2.838e-6
1.602e+1, 2.832e-6
1.605e+1, 2.797e-6
1.608e+1, 2.817e-6
1.611e+1, 2.819e-6
1.614e+1, 2.804e-6
1.617e+1, 2.806e-6
1.620e+1, 2.802e-6
1.623e+1, 2.799e-6
1.626e+1, 2.804e-6
1.629e+1, 2.799e-6
1.632e+1, 2.797e-6
1.635e+1, 2.868e-6
1.638e+1, 2.845e-6
1.641e+1, 2.820e-6
1.644e+1, 2.807e-6
1.647e+1, 2.750e-6
1.650e+1, 2.746e-6
1.653e+1, 2.752e-6
1.656e+1, 2.793e-6
1.659e+1, 2.881e-6
1.662e+1, 3.124e-6
1.665e+1, 3.563e-6
1.668e+1, 3.613e-6
1.671e+1, 3.562e-6
1.674e+1, 3.582e-6
1.677e+1, 3.548e-6
1.680e+1, 3.548e-6
1.683e+1, 3.463e-6
1.686e+1, 3.425e-6
1.689e+1, 3.434e-6
1.692e+1, 3.433e-6
1.695e+1, 3.429e-6
1.698e+1, 3.416e-6
1.701e+1, 3.420e-6
1.704e+1, 3.405e-6
1.707e+1, 3.060e-6
1.710e+1, 3.045e-6
1.713e+1, 3.039e-6
1.716e+1, 3.043e-6
1.719e+1, 3.043e-6
1.722e+1, 3.052e-6
1.725e+1, 3.049e-6
1.728e+1, 3.052e-6
1.731e+1, 3.077e-6
1.734e+1, 3.099e-6
1.737e+1, 3.101e-6
1.740e+1, 3.605e-6
1.743e+1, 3.872e-6
1.746e+1, 3.938e-6
1.749e+1, 3.959e-6
1.752e+1, 3.944e-6
1.755e+1, 3.921e-6
1.758e+1, 3.912e-6
1.761e+1, 3.897e-6
1.764e+1, 3.814e-6
1.767e+1, 3.801e-6
1.770e+1, 3.814e-6
1.773e+1, 3.803e-6
1.776e+1, 3.796e-6
1.779e+1, 3.791e-6
1.782e+1, 3.750e-6
1.785e+1, 3.572e-6
1.788e+1, 3.555e-6
1.791e+1, 3.541e-6
1.794e+1, 3.539e-6
1.797e+1, 3.510e-6
1.800e+1, 3.182e-6
1.803e+1, 3.146e-6
1.806e+1, 3.167e-6
1.809e+1, 3.184e-6
1.812e+1, 3.171e-6
1.815e+1, 3.178e-6
1.818e+1, 3.559e-6
1.821e+1, 3.902e-6
1.824e+1, 3.978e-6
1.827e+1, 3.993e-6
1.830e+1, 3.980e-6
1.833e+1, 3.988e-6
1.836e+1, 3.987e-6
1.839e+1, 3.980e-6
1.842e+1, 3.912e-6
1.845e+1, 3.896e-6
1.848e+1, 3.931e-6
1.851e+1, 3.886e-6
1.854e+1, 3.834e-6
1.857e+1, 3.821e-6
1.860e+1, 3.819e-6
1.863e+1, 3.815e-6
1.866e+1, 3.684e-6
1.869e+1, 3.662e-6
1.872e+1, 3.566e-6
1.875e+1, 3.563e-6
1.878e+1, 3.570e-6
1.881e+1, 3.571e-6
1.884e+1, 3.244e-6
1.887e+1, 3.148e-6
1.890e+1, 3.149e-6
1.893e+1, 3.127e-6
1.896e+1, 3.106e-6
1.899e+1, 3.327e-6
1.902e+1, 3.857e-6
1.905e+1, 3.950e-6
1.908e+1, 3.936e-6
1.911e+1, 3.944e-6
1.914e+1, 3.953e-6
1.917e+1, 3.959e-6
1.920e+1, 3.961e-6
1.923e+1, 3.892e-6
1.926e+1, 3.868e-6
1.929e+1, 3.880e-6
1.932e+1, 3.887e-6
1.935e+1, 3.878e-6
1.938e+1, 3.875e-6
1.941e+1, 3.866e-6
1.944e+1, 3.856e-6
1.947e+1, 3.822e-6
1.950e+1, 3.628e-6
1.953e+1, 3.434e-6
1.956e+1, 3.283e-6
1.959e+1, 3.288e-6
1.962e+1, 3.283e-6
1.965e+1, 3.271e-6
1.968e+1, 3.259e-6
1.971e+1, 3.260e-6
1.974e+1, 3.255e-6
1.977e+1, 3.174e-6
1.980e+1, 3.142e-6
1.983e+1, 3.140e-6
1.986e+1, 3.638e-6
1.989e+1, 3.979e-6
1.992e+1, 3.975e-6
1.995e+1, 3.972e-6
1.998e+1, 3.977e-6
2.001e+1, 3.980e-6
2.004e+1, 3.974e-6
2.007e+1, 3.973e-6
2.010e+1, 3.952e-6
2.013e+1, 4.015e-6
2.016e+1, 4.038e-6
2.019e+1, 4.014e-6
2.022e+1, 3.950e-6
2.025e+1, 3.882e-6
2.028e+1, 3.863e-6
2.031e+1, 3.846e-6
2.034e+1, 3.829e-6
2.037e+1, 3.480e-6
2.040e+1, 3.272e-6
2.043e+1, 3.257e-6
2.046e+1, 3.243e-6
2.049e+1, 3.220e-6
2.052e+1, 3.231e-6
2.055e+1, 3.198e-6
2.058e+1, 3.176e-6
2.061e+1, 3.106e-6
2.064e+1, 3.082e-6
2.067e+1, 3.126e-6
2.070e+1, 3.268e-6
2.073e+1, 3.761e-6
2.076e+1, 3.868e-6
2.079e+1, 3.883e-6
2.082e+1, 3.937e-6
2.085e+1, 3.969e-6
2.088e+1, 3.940e-6
2.091e+1, 3.883e-6
2.094e+1, 3.803e-6
2.097e+1, 3.820e-6
2.100e+1, 3.808e-6
2.103e+1, 3.814e-6
2.106e+1, 3.688e-6
2.109e+1, 3.638e-6
2.112e+1, 3.606e-6
2.115e+1, 3.341e-6
2.118e+1, 3.410e-6
2.121e+1, 3.446e-6
2.124e+1, 3.277e-6
2.127e+1, 3.278e-6
2.130e+1, 3.301e-6
2.133e+1, 3.251e-6
2.136e+1, 3.198e-6
