July 5, 2024   17:40:39
Amperometric i-t Curve
File: 8
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

3.000e-2, 1.391e-6
6.000e-2, 1.382e-6
9.000e-2, 1.341e-6
1.200e-1, 1.353e-6
1.500e-1, 1.336e-6
1.800e-1, 1.362e-6
2.100e-1, 1.351e-6
2.400e-1, 1.303e-6
2.700e-1, 1.276e-6
3.000e-1, 1.265e-6
3.300e-1, 1.262e-6
3.600e-1, 1.264e-6
3.900e-1, 1.254e-6
4.200e-1, 1.241e-6
4.500e-1, 1.232e-6
4.800e-1, 1.195e-6
5.100e-1, 1.174e-6
5.400e-1, 1.178e-6
5.700e-1, 1.190e-6
6.000e-1, 1.295e-6
6.300e-1, 1.351e-6
6.600e-1, 1.393e-6
6.900e-1, 1.419e-6
7.200e-1, 1.421e-6
7.500e-1, 1.387e-6
7.800e-1, 1.360e-6
8.100e-1, 1.345e-6
8.400e-1, 1.341e-6
8.700e-1, 1.325e-6
9.000e-1, 1.327e-6
9.300e-1, 1.321e-6
9.600e-1, 1.312e-6
9.900e-1, 1.337e-6
1.020e+0, 1.377e-6
1.050e+0, 1.380e-6
1.080e+0, 1.376e-6
1.110e+0, 1.376e-6
1.140e+0, 1.387e-6
1.170e+0, 1.403e-6
1.200e+0, 1.349e-6
1.230e+0, 1.384e-6
1.260e+0, 1.368e-6
1.290e+0, 1.368e-6
1.320e+0, 1.378e-6
1.350e+0, 1.475e-6
1.380e+0, 1.548e-6
1.410e+0, 1.514e-6
1.440e+0, 1.482e-6
1.470e+0, 1.437e-6
1.500e+0, 1.405e-6
1.530e+0, 1.475e-6
1.560e+0, 1.459e-6
1.590e+0, 1.461e-6
1.620e+0, 1.440e-6
1.650e+0, 1.420e-6
1.680e+0, 1.374e-6
1.710e+0, 1.242e-6
1.740e+0, 9.505e-7
1.770e+0, 8.546e-7
1.800e+0, 8.204e-7
1.830e+0, 5.446e-7
1.860e+0, 3.332e-7
1.890e+0, 1.601e-8
1.920e+0, 8.471e-9
1.950e+0, 8.049e-9
1.980e+0, 7.803e-9
2.010e+0, 5.763e-9
2.040e+0, 7.568e-9
2.070e+0, 7.411e-9
2.100e+0, 6.214e-9
2.130e+0, 7.332e-9
2.160e+0, 7.303e-9
2.190e+0, 7.323e-9
2.220e+0, 5.910e-9
2.250e+0, 7.332e-9
2.280e+0, 7.264e-9
2.310e+0, 5.319e-8
2.340e+0, 2.947e-7
2.370e+0, 3.414e-7
2.400e+0, 4.628e-7
2.430e+0, 5.931e-7
2.460e+0, 6.907e-7
2.490e+0, 5.321e-7
2.520e+0, 3.126e-7
2.550e+0, 2.858e-7
2.580e+0, 5.103e-8
2.610e+0, 6.871e-9
2.640e+0, 7.225e-9
2.670e+0, 7.156e-9
2.700e+0, 5.606e-9
2.730e+0, 6.528e-9
2.760e+0, 5.410e-9
2.790e+0, 1.747e-7
2.820e+0, 3.549e-7
2.850e+0, 3.572e-7
2.880e+0, 1.083e-6
2.910e+0, 1.165e-6
2.940e+0, 1.081e-6
2.970e+0, 1.018e-6
3.000e+0, 4.438e-7
3.030e+0, 1.810e-8
3.060e+0, 8.500e-9
3.090e+0, 7.185e-9
3.120e+0, 7.077e-9
3.150e+0, 5.066e-9
3.180e+0, 6.194e-9
3.210e+0, 4.085e-9
3.240e+0, 5.518e-9
3.270e+0, 7.038e-9
3.300e+0, 6.881e-9
3.330e+0, 6.077e-9
3.360e+0, 6.822e-9
3.390e+0, 6.871e-9
3.420e+0, 6.901e-9
3.450e+0, 5.763e-9
3.480e+0, 6.881e-9
3.510e+0, 6.901e-9
3.540e+0, 4.801e-9
3.570e+0, 6.822e-9
3.600e+0, 1.686e-8
3.630e+0, 3.515e-8
3.660e+0, 5.028e-8
3.690e+0, 1.920e-7
3.720e+0, 1.005e-7
3.750e+0, 9.436e-8
3.780e+0, 1.648e-8
3.810e+0, 7.009e-9
3.840e+0, 1.712e-8
3.870e+0, 6.979e-9
3.900e+0, 6.832e-9
3.930e+0, 6.852e-9
3.960e+0, 5.449e-9
3.990e+0, 6.773e-9
4.020e+0, 6.646e-9
4.050e+0, 4.752e-9
4.080e+0, 6.724e-9
4.110e+0, 6.724e-9
4.140e+0, 6.871e-9
4.170e+0, 6.763e-9
4.200e+0, 6.793e-9
4.230e+0, 6.754e-9
4.260e+0, 4.095e-9
4.290e+0, 2.358e-7
4.320e+0, 4.562e-7
4.350e+0, 6.730e-7
4.380e+0, 6.740e-7
4.410e+0, 6.721e-7
4.440e+0, 6.243e-7
4.470e+0, 4.416e-7
4.500e+0, 2.603e-7
4.530e+0, 2.566e-7
4.560e+0, 2.779e-7
4.590e+0, 2.230e-7
4.620e+0, 1.267e-7
4.650e+0, 4.497e-8
4.680e+0, 6.842e-9
4.710e+0, 6.862e-9
4.740e+0, 6.871e-9
4.770e+0, 4.870e-9
4.800e+0, 6.891e-9
4.830e+0, 6.714e-9
4.860e+0, 5.812e-9
4.890e+0, 6.773e-9
4.920e+0, 6.803e-9
