23/12/15 16:17:55
,Ch,,Vanode(Vout1)
Time (s),I (A),ΔI/I0 (%),Voltage(V)
8.537003517150879,7.4144E-5,-2.8460572815303498,0.5000
8.59200382232666,7.6763E-5,0.5857205086839847,0.5000
8.647003173828125,7.7164E-5,1.1111671497696922,0.5000
8.697004318237305,7.4759E-5,-2.0401970064996053,0.5000
8.758004188537598,7.4836E-5,-1.9392988190917333,0.5000
8.827004432678223,7.446E-5,-2.4319962138629707,0.5000
8.877004623413086,8.0451E-5,5.418260312365839,0.5000
8.934004783630371,8.0327E-5,5.255782101102024,0.5000
8.988003730773926,7.7688E-5,1.7977858458615488,0.5000
9.043004989624023,7.8531E-5,2.902403146368347,0.5000
9.10700511932373,7.9525E-5,4.204888818930609,0.5000
9.164005279541016,7.9143E-5,3.7043354186388116,0.5000
9.215004920959473,7.8803E-5,3.258821726927345,0.5000
9.26800537109375,7.8805E-5,3.26144357342996,0.5000
9.323005676269531,7.4488E-5,-2.395299896813656,0.5000
9.38100528717041,7.6059E-5,-0.3367594987830342,0.5000
9.431005477905273,7.86E-5,2.9928234817530446,0.5000
9.488004684448242,8.1269E-5,6.490118832570885,0.5000
9.541004180908203,8.1475E-5,6.760054614492747,0.5000
9.597004890441895,7.8339E-5,2.6508202899647824,0.5000
9.665003776550293,8.0475E-5,5.4497129364099255,0.5000
9.728004455566406,8.0755E-5,5.816609368992099,0.5000
9.785004615783691,7.9564E-5,4.255990990763378,0.5000
9.844003677368164,7.9189E-5,3.764609286237089,0.5000
9.913004875183105,7.8404E-5,2.735996932344252,0.5000
9.999004364013672,7.7162E-5,1.1085548372543603,0.5000
10.067004203796387,8.2347E-5,7.902674388306527,0.5000
10.12700366973877,8.0048E-5,4.890191824777517,0.5000
10.178003311157227,7.7536E-5,1.5986208515357012,0.5000
10.230003356933594,7.7685E-5,1.7938578431012688,0.5000
10.288003921508789,7.8135E-5,2.383515888532816,0.5000
10.355003356933594,8.0163E-5,5.040886027760492,0.5000
10.415002822875977,7.9617E-5,4.325436554127163,0.5000
10.480002403259277,7.9445E-5,4.100062628762457,0.5000
10.53000259399414,7.5745E-5,-0.7481987199477995,0.5000
10.585002899169922,7.5621E-5,-0.9106864651988965,0.5000
10.651002883911133,8.058E-5,5.58729790687983,0.5000
10.70400333404541,7.9958E-5,4.772265936083577,0.5000
10.755003929138184,8.0333E-5,5.263638106622584,0.5000
10.80700397491455,8.0011E-5,4.841711499447363,0.5000
10.857004165649414,7.8811E-5,3.26929957895052,0.5000
10.912003517150879,7.6137E-5,-0.23454562113021415,0.5000
10.96600341796875,7.6876E-5,0.7337928651643454,0.5000
11.020004272460938,8.036E-5,5.2990187334269505,0.5000
11.08100414276123,8.0709E-5,5.756325967406539,0.5000
11.162004470825195,8.4134E-5,10.2442502667848,0.5000
11.24300479888916,7.8844E-5,3.3125457452627285,0.5000
11.296004295349121,7.7437E-5,1.468891886586357,0.5000
11.35800552368164,7.8002E-5,2.2092346010135966,0.5000
11.410005569458008,7.9079E-5,3.62047446650429,0.5000
11.461005210876465,7.7766E-5,1.8999997235143686,0.5000
11.520005226135254,7.7361E-5,1.3693093894234332,0.5000
11.573005676269531,7.3389E-5,-3.835370539845822,0.5000
11.634005546569824,7.7449E-5,1.4846229656020413,0.5000
11.687005996704102,7.7503E-5,1.5553746852234924,0.5000
11.78000545501709,7.9336E-5,3.9572339652873247,0.5000
11.840005874633789,7.6181E-5,-0.17689360003455115,0.5000
11.89400577545166,7.2625E-5,-4.836467806442134,0.5000
11.945006370544434,6.3959E-5,-16.191885222996625,0.5000
12.004006385803223,6.6572E-5,-12.767963438302852,0.5000
12.063005447387695,6.7179E-5,-11.972590549282563,0.5000
12.116005897521973,7.4566E-5,-2.2930955531481176,0.5000
12.16800594329834,7.5169E-5,-1.5029568231457755,0.5000
12.228006362915039,7.6703E-5,0.5071032495546913,0.5000
12.282007217407227,7.7935E-5,2.121445646118795,0.5000
12.338006973266602,7.7628E-5,1.7191685867322555,0.5000
12.422006607055664,7.6029E-5,-0.37606812834768083,0.5000
12.474005699157715,7.9163E-5,3.7305443496776705,0.5000
12.527006149291992,7.678E-5,0.6080014369625633,0.5000
12.584006309509277,8.0245E-5,5.148334064431258,0.5000
12.644006729125977,8.106E-5,6.216264581876024,0.5000
12.70500659942627,7.6446E-5,0.1703437507716571,0.5000
12.761007308959961,8.0473E-5,5.447091089907311,0.5000
12.817008018493652,8.2505E-5,8.109704922140217,0.5000
12.871007919311523,8.172E-5,7.0810830342600966,0.5000
12.928008079528809,8.1418E-5,6.685365358123733,0.5000
13.001008033752441,7.4994E-5,-1.7322682852580435,0.5000
